transaction_id,user_id,amount,time_delta,device_trust_score,location_risk_score,merchant_category,transactions_last_hour,avg_transaction_amount,velocity_score,fraud_probability,is_fraud
1,103,37.20790029279845,9.699317563359388,0.8764892839452321,0.27613688767412903,grocery,0,176.97697079906553,0.0,0.2,0
2,436,20.105707481113257,26.247139167463267,0.4379685061487193,0.28338611529258173,fashion,2,182.62407483318188,0.31133146869834805,0.0,0
3,861,108.64778580394265,5.918724179723813,0.5672773713978572,0.8731773543910898,travel,0,49.843406525552744,0.0,0.5,0
4,271,24.049625289136113,29.083403612393887,0.17916687483871485,0.5534012710705875,fashion,2,97.30999708470533,0.6079734369626991,0.2,0
5,107,37.72730471261709,21.837785383647386,0.4928482809843965,0.6083236208453996,fashion,1,90.14184112126648,0.42165780265700586,0.0,0
6,72,158.51603059061216,12.6360238542633,0.873627721400292,0.36706469060004154,electronics,0,225.74757482351376,0.0,0.0,0
7,701,35.968751503010516,51.38617844493116,0.7734632635180768,0.06031038402439881,travel,0,168.6690724634131,0.0,0.0,0
8,21,13.20227143090788,150.7065123027781,0.0811907157990216,0.07524828299677855,electronics,2,10.599000444544833,0.08266868840143649,0.2,0
9,615,76.36598161616016,11.603758079789046,0.8620722687501151,0.4203825416277608,fashion,1,24.565849599739558,0.2913869734859062,0.0,0
10,122,49.77410876009099,62.20344060428804,0.27382809741992653,0.17749387840959563,fashion,0,274.85534757100226,0.0,0.2,0
11,467,144.84716794088874,67.8136549917892,0.6657162493399673,0.10426255953439545,grocery,0,505.2515999667605,0.0,0.0,0
12,215,21.59881488255978,34.46976303369586,0.14638290514273133,0.2622435448311793,grocery,4,151.74777459829156,0.4220647033424116,0.2,0
13,331,278.68054329062556,113.97681158019553,0.6746443700858021,0.7420463606006766,grocery,3,68.06534762333844,1.028694685390255,0.3,0
14,459,473.3895673778973,169.64668014387627,0.03570142885716332,0.07301830439712942,grocery,2,37.477476704495764,0.08021880650839505,0.2,0
15,88,272.0747826377389,22.490167937581052,0.6006447010702178,0.448225909237846,fashion,1,204.12841495155703,0.31068652524213086,0.0,0
16,373,152.2111440585928,52.63893855413817,0.6459401707613442,0.8260871595640286,grocery,4,152.58203240915213,1.3295359935773456,0.3,0
17,100,394.1788851021411,54.26693142369856,0.24449671405906415,0.2679248151405288,travel,6,359.36708919050784,0.5213576169657236,0.2,0
18,872,237.43518618028384,25.845163284679746,0.93697608971048,0.30187421523041247,fashion,2,350.1608504270485,0.331642722484173,0.0,0
19,664,2.12143604123416,19.04772861643951,0.04597238720047947,0.884207278604003,fashion,1,55.048691497860794,0.6128857821949467,0.5,0
20,131,100.20481418686984,135.71161220151907,0.8917093267849389,0.6500035802637596,travel,1,243.6212664871424,0.45054814901369505,0.0,0
21,662,380.69724047191676,78.02799458541682,0.38189748764253095,0.7977120951338136,electronics,4,43.873116672735534,1.2838680891155974,0.3,0
22,309,84.88642746316965,6.078140336041851,0.7139147417025059,0.28920421654383566,grocery,3,228.48348687189434,0.4009221746068151,0.2,0
23,770,7.170036050608278,6.385082167553207,0.6515484273479355,0.9967795242093597,fashion,1,27.607584983836983,0.6909149168456014,0.5,0
24,344,274.2257001138853,127.90146755584995,0.1682462160279955,0.14089636990997734,travel,2,64.08848230919658,0.1547904834118288,0.2,0
25,492,323.93631024526456,4.2457568741622795,0.31899927558985874,0.9619370876042853,electronics,1,13.479444151057388,0.6667639801489554,0.5,0
26,414,35.01208336896857,58.305173630272755,0.5296734809125339,0.9020991191516865,electronics,2,52.59850260493124,0.9910571778967202,0.3,0
27,806,154.1527819587621,12.858176638768375,0.8465102703846068,0.551894649105209,travel,0,57.44293442325384,0.0,0.0,0
28,386,42.6276144447937,1.7909630553609996,0.9548600759354687,0.5852964799571473,fashion,3,165.69930312727152,0.8113932097479143,0.2,0
29,192,254.04703785738917,3.0744944381014294,0.020586633337241755,0.7750478784772795,fashion,1,188.42420609577445,0.5372222517654934,0.7,1
30,956,63.3673829479764,23.382089324040013,0.3525582554710086,0.3067821061920605,grocery,3,133.0233506163077,0.4252903039065369,0.0,0
